City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Jatiroto,ID,2022-05-17 20:54:26,-7.8833,111.1167,73.9,92,99,1.36
162,Neryungri,RU,2022-05-17 20:54:27,56.6709,124.6491,30.67,95,100,3.83
163,Sioux Lookout,CA,2022-05-17 20:54:27,50.1001,-91.917,55.47,33,75,3.44
164,Lisala,CD,2022-05-17 20:54:28,2.15,21.5167,73.42,85,99,1.25
165,Tagusao,PH,2022-05-17 20:54:28,9.1924,117.8141,78.8,78,100,3.71
166,Lac-Megantic,CA,2022-05-17 20:54:29,45.5834,-70.8823,51.55,94,100,16.55
167,Kamenka,RU,2022-05-17 20:54:29,51.3223,42.7678,42.28,94,38,9.42
168,Barrow,US,2022-05-17 20:54:30,71.2906,-156.7887,17.94,86,27,8.81
169,Sur,OM,2022-05-17 20:54:31,22.5667,59.5289,86.58,47,0,14.99
170,Angoche,MZ,2022-05-17 20:54:31,-16.2325,39.9086,71.98,81,3,7.02
171,Faanui,PF,2022-05-17 20:54:32,-16.4833,-151.75,81.12,74,47,14.25
172,Havoysund,NO,2022-05-17 20:54:32,70.9963,24.6622,35.83,73,94,11.12
173,Grand Haven,US,2022-05-17 20:54:33,43.0631,-86.2284,64.33,49,75,11.5
174,Luderitz,NA,2022-05-17 20:54:34,-26.6481,15.1594,73.42,36,92,9.06
175,Mwene-Ditu,CD,2022-05-17 20:54:34,-7.0,23.45,71.4,69,72,3.29
176,Sept-Iles,CA,2022-05-17 20:54:35,50.2001,-66.3821,43.32,95,100,19.57
177,Westport,US,2022-05-17 20:55:35,41.1415,-73.3579,77.36,37,45,8.99
178,Gamba,GA,2022-05-17 20:55:36,-2.65,10.0,77.47,88,100,4.14
179,Leningradskiy,RU,2022-05-17 20:55:36,69.3833,178.4167,31.59,97,100,6.08
180,Tasiilaq,GL,2022-05-17 20:55:37,65.6145,-37.6368,37.33,97,100,3.44
181,Berlevag,NO,2022-05-17 20:55:38,70.8578,29.0864,35.55,80,75,14.97
182,Nikolskoye,RU,2022-05-17 20:55:38,59.7035,30.7861,44.8,75,100,8.61
183,Chokurdakh,RU,2022-05-17 20:55:39,70.6333,147.9167,29.07,87,100,4.16
184,Derzhavinsk,KZ,2022-05-17 20:55:39,51.1,66.3167,56.61,53,78,3.51
185,Una,IN,2022-05-17 20:55:40,20.8167,71.0333,81.16,77,0,10.89
186,Pemba,MZ,2022-05-17 20:55:40,-12.974,40.5178,75.25,78,41,12.88
187,Chapais,CA,2022-05-17 20:55:41,49.7834,-74.8492,31.78,97,100,18.77
188,Arraial Do Cabo,BR,2022-05-17 20:55:42,-22.9661,-42.0278,73.26,68,20,11.5
189,Victoria,HK,2022-05-17 20:54:04,22.2855,114.1577,73.33,63,97,8.01
190,Cabo San Lucas,MX,2022-05-17 20:55:43,22.8909,-109.9124,87.62,57,74,11.54
191,Novoorsk,RU,2022-05-17 20:55:44,51.381,58.9813,45.25,74,55,6.51
192,Brae,GB,2022-05-17 20:55:44,60.3964,-1.353,49.87,95,100,19.93
193,Labelle,US,2022-05-17 20:55:45,26.7617,-81.4384,95.07,30,2,10.76
194,Matagami,CA,2022-05-17 20:55:46,49.7502,-77.6328,44.71,53,40,23.02
195,Manzanillo,CU,2022-05-17 20:55:46,20.3433,-77.1167,88.45,53,85,8.21
196,Flagstaff,US,2022-05-17 20:55:47,35.1981,-111.6513,81.05,15,0,1.99
197,Brownsville,US,2022-05-17 20:55:47,25.9018,-97.4975,93.09,56,9,8.99
198,Kokkola,FI,2022-05-17 20:51:12,63.8385,23.1307,41.04,73,0,6.91
199,Thomastown,IE,2022-05-17 20:55:48,52.5267,-7.1372,54.99,89,53,14.12
