,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
142,Vao,NC,-22.6667,167.4833,72.81,87,100,21.54,moderate rain
143,Goderich,CA,43.7501,-81.7165,71.91,54,92,6.08,overcast clouds
144,Royan,FR,45.6285,-1.0281,77.83,59,99,12.46,overcast clouds
145,Saldanha,ZA,-33.0117,17.9442,61.48,45,56,3.98,broken clouds
146,Griffith,US,41.5284,-87.4237,74.37,76,40,11.5,scattered clouds
147,Grand Bank,CA,47.0999,-55.765,64.4,79,100,11.65,overcast clouds
148,Conceicao Da Barra,BR,-18.5933,-39.7322,77.76,52,20,9.62,few clouds
149,Mabaruma,GY,8.2,-59.7833,80.92,89,5,5.17,clear sky
150,Asau,RO,46.4333,26.4,78.28,72,100,1.92,overcast clouds
151,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,58,1,13.65,clear sky
152,Owo,NG,7.1962,5.5868,72.19,93,98,9.66,light rain
153,Kawambwa,ZM,-9.7915,29.0791,88.2,11,3,6.71,clear sky
154,Haines Junction,CA,60.7522,-137.5108,49.55,89,100,3.51,overcast clouds
155,Kastamonu,TR,41.5,33.6667,66.27,88,77,5.5,broken clouds
156,Camamu,BR,-13.9447,-39.1039,75.99,64,78,7.43,broken clouds
157,Ternate,ID,0.8,127.4,76.96,86,100,1.34,overcast clouds
158,Luneville,FR,48.6,6.5,77.58,60,97,14.76,overcast clouds
159,Adrar,MR,20.5022,-10.0711,109.71,8,1,13.51,clear sky
160,Lazaro Cardenas,MX,17.9583,-102.2,78.76,74,41,4.23,scattered clouds
161,Naantali,FI,60.4674,22.0243,84.33,42,0,8.05,clear sky
162,Tasiilaq,GL,65.6145,-37.6368,53.76,69,36,1.57,scattered clouds
163,Honiara,SB,-9.4333,159.95,76.69,87,99,3.2,overcast clouds
164,Saskylakh,RU,71.9167,114.0833,47.17,85,1,7.31,clear sky
165,Norwich,GB,52.6278,1.2983,81.46,42,0,8.05,clear sky
166,Mvuma,ZW,-19.2792,30.5283,76.78,16,0,10.8,clear sky
167,Sibolga,ID,1.7427,98.7792,77.68,84,20,2.75,heavy intensity rain
168,Guayaramerin,BO,-10.8368,-65.3614,90.64,40,0,5.35,clear sky
169,Cabo San Lucas,MX,22.8909,-109.9124,82.06,76,100,8.75,overcast clouds
170,Morro Bay,US,35.3658,-120.8499,56.46,98,6,3.67,clear sky
171,Storsteinnes,NO,69.2408,19.2344,74.05,50,100,4.07,overcast clouds
172,Sur,OM,22.5667,59.5289,91.72,56,100,1.95,overcast clouds
173,Ballina,AU,-28.8667,153.5667,49.78,64,0,7.94,clear sky
174,Jalu,LY,29.0331,21.5482,100.29,18,0,14.67,clear sky
175,Port Hedland,AU,-20.3167,118.5667,69.85,78,0,0.0,clear sky
176,Kirando,TZ,-7.4167,30.6,82.9,37,33,7.27,scattered clouds
177,Port Hardy,CA,50.6996,-127.4199,59.14,95,100,3.11,overcast clouds
178,Mayo,US,38.8876,-76.5119,72.39,91,100,3.0,overcast clouds
